user	tweets	stance	stance (A2)		
491	Merkel to delay release of details of EU army until after EU Referendum as it will scare off our youngsters &amp; they'll vote to leave #Brexit  |  @JosephTaylor54 Oooh yes, I want strong borders, I want my daughter to have #futureofwork. Reclaim Britannia for the Britons. #VoteLeave  |  53 YEARS IN THE CITY: David Buik blasts Remain's scaremongering and says #VoteLeave  https://t.co/jrNAPkpLqW https://t.co/8zAJgdCiRS  |  Germany's BIGGEST BANK believes UK will have massive growth after #brexit https://t.co/KNCqTXv4gs  |  I pledge to #VoteLeave on 23 June #TakeControl #ProjectHope https://t.co/zf3aawqmRA	1	1		
6430	Please RSVP: Loughborough Street Stall https://t.co/IX4FSLjWVu 930 today. Cameron gonna be in town. lets show our happy united #brexit face  |  The U.K. Imported 250,000 BMW's last year! Do you think they can afford to lose that trade? #BREXIT holds the aces! https://t.co/4rRxXFyO4p  |  We admire the independence of other nations yet we dismiss our own independence. #VoteLeave  |  .@WindleshamRich and who appointed you UK spokesperson anyway? #VoteLeave  |  #VoteLeave #EURef  https://t.co/IAEdMreolC  |  #Brexit Britain bounces back: Fears subside as FTSE 100 SOARS to highest level since April  BRITAIN'S top stock... https://t.co/ydx9NWb0bc  |  I think these politicians are confused, #VoteLeave was about us leaving the EU, not them leaving their jobs. #NigelFarage  #c4news	1	1		
5562	So, #TheTimes is backing #Remain? Not quite sure where #TheSun is at on the #EUReferendum... #Brexit https://t.co/V1WHYr9wON  |  "What is at stake is the future of democracy." The Brussels Business: https://t.co/P0A2on823t via @PCraigRoberts #StopTTIP #VoteLeave  |  How Europeans see a vote for #Brexit   https://t.co/CWfdRgi3AG  |  @Nigel_Farage Been and done.#VoteLeave good luck democracy happy independence day	1	1		
5037	Now #brexit puts Australian links at risk. Oh the irony of their promised 'closer Commonwealth' ties  https://t.co/6eWHYjTw6I	-1	0		
6540	Scotland may hold the key to the EU referendum #VoteRemain #StrongerIN #EUref https://t.co/fXL9Nct7vf https://t.co/PG4Z3AWt3z  |  Why Boris didn't want to win and why he has now definitely lost #eurefresult https://t.co/NLdVDhsIDK	-1	-1		
6139	ComRes/Sun EU Referendum, Phone: IN lead 1 IN 46(-6) OUT 45(+4) DK 9(+2) #EURef https://t.co/F9E5IrsnGp	0	0		
226	#bbcqt yvette cooper couldnt confirm we get £10 back all lying and full of waffle not answering questions asked  |  #bbcqt patients do support the junior doctors not politicians #SaveOurNHS  |  #VoteLeave #brexit https://t.co/WicgF0rw4M  |  #EU is broken #greece has no jobs its on its knees - do we want this here to be part of a dying team #VoteLeave  |  #Brexit #VoteLeave #TakeControl   https://t.co/NmJcj7T9E9	1	1		
4492	I will never forgive my fellow working class people who voted to #Leave - it's not the elites who betrayed us, it's you. #EUref	-1	-1		
1948	Got to be honest Neil Hamilton isn't my idea of a great voice for the leave side and I'm a supporter of Brexit. #VoteLeave #bbcqt  |  Remainiacs never admit had it not been for #ProjectFear Reluctant Remainers could just as easily voted their Leave conscience #BrexitDebate	1	1		
7512	@Telegraph Because when push comes to shove, he KNOWS he is peddling bullshit &amp; he'd be seen as the lying fearmonger he really is #VoteLeave  |  In midst of all REMAIN campaign bullshit everyone's forgotten what Cameron achieved in #EU re-negotiation! Which was sweet FA! #Brexit !  |  Usual EU cock up then - for gods sake lets disassociate the UK from this idiocy! #VoteLeave #Brexit @CllrBSilvester  https://t.co/YMEuJs8TNN  |  If vote #REMAIN one certainty will be increased immigration &amp; huge pressures on public services - NHS, education, housing, policing #Brexit  |  So Merkel wants the UK to stay in the EU but refused CAMERON any substantial reforms. Germany expects but the UK has one response. #Leave  |  .@FaisalIslam is right - Cameron's hollow promise to reduce net migration while staying in the EU is moronic #AskDave #InOrOut #VoteLeave  |  #InorOut #StrongerIn or #VoteLeave https://t.co/gpwWaYsXNV  |  #voteleave https://t.co/mTKVvtQHHU  |  Why won't the #LeaveEU point out how #UK was a world leader in industrial, scientific, cultural matters BEFORE entering the EEC? #CapeTown  |  WATCH: Top pension adviser Edi Truell is voting Leave to protect British funds https://t.co/YlHK7cnrSs #VoteLeave https://t.co/yo2Ud9EYw2  |  Just taken delivery of 4,000 Vote Leave leaflets. Let's Do this! #VoteLeave  |  my 90 yo ex-miner life-long Lab voting father-in-law watched @Nigel_Farage last night &amp; #ITVEURef earlier.  Loves Farage &amp; has voted #Leave  |  So much optimism from the @vote_leave team. We have a clear vision for the future. Stark contrast to #ProjectFear  |  We sure will! #VoteLeave on 23 June :D https://t.co/Esln9HwXKw  |  53 YEARS IN THE CITY: David Buik blasts Remain's scaremongering and says #VoteLeave  https://t.co/jrNAPkpLqW https://t.co/XVQmp7wcM9  |  In a nutshell. Vote remain and this is the future. #voteleave so we can choose  https://t.co/OTEaJvSn8E  |  Lord Guthrie has changed from Remain to Leave because he fears the creation of an EU army that would weaken the UK #bbcqt #EUref  |  For anyone still undecided on which way to vote in the #EUref , it's worth watching this well-informed speech. RT. https://t.co/yosBl7DMj4	1	1		
7492	WATCH: Top pensions adviser Edi Truell is voting Leave to protect British funds https://t.co/YlHK7cnrSs #VoteLeave https://t.co/8hAv1yZxbZ  |  @AmpersUK Turkey, a backward islamic country in #eu. What could go wrong? https://t.co/ZwqsKMlbnv  |  LISTEN: Car Distributor and Conservative Peer Robert Edmiston Backs Brexit https://t.co/vkg2ds0gZ9 #VoteLeave #EUref https://t.co/toID9yrFLh  |  WATCH: Find out why these economists and business leaders back #Brexit at https://t.co/RkQn9lc02n #VoteLeave #EUref https://t.co/4SEXS5Alrs  |  Read this report - 35,000 people have already: https://t.co/s4dmUShFen #Euref #VoteLeave #Brexit #Lexit https://t.co/yOyiEsMuwx	1	1		
6061	EU has given us peace for 70 years. We need to continue standing together and keeping our children safe #StrongerIn https://t.co/qMSxcra8qC	-1	-1		
3100	For our children, for future generations across Britain, we are definitely #strongerin Europe  @NEStrongerIn https://t.co/tlNR4DaxSH	-1	-1		
4272	I'm Belgian and I endorse #Brexit  because we can be united only in freedom, sovereignty and rule of law. #VoteLeave https://t.co/FkmkOUXZ4y	1	1		
4579	This ghastly stupid #referendum not only risking welfare prosperity &amp; security of my grandchildren but also bringing out the worst in people  |  Together Germany, France &amp; UK v. powerful. Individually not as dynamic. When will leavers ever learn! #StrongerIn https://t.co/oqkC7jK3c6  |  I am now a hostage?! I thought this only happened in dictatorships #IamanEUmigrant #Brexit https://t.co/K57kQvxSPh https://t.co/NNyDWNU6yU  |  Sanders fans backing Trump sound very like the #Lexit left-wingers who assured us Brexit would be a big success &amp; end Tory rule. Oops.	-1	-1		
4768	Why My American Students Used to Gasp in Horror When they Learnt About the EU https://t.co/6eDFlYKMYR via @heatstreet #VoteLeave #LeaveEU  |  BBC admits receiving millions in grants from EU and councils - via @Telegraph https://t.co/PJuqK45RzZ #EUref #VoteLeave #Brexit  |  The lovely Katie our special advisor and muse is waiting in the wings #VoteLeave #EUref #KatieHopkins #BBCDebate https://t.co/yvD9cV78jb  |  The spectacle of elites #gottardo2016 inauguration w/ #Merkel #Hollande  #idolatry #pedophilia #perversity #Brexit https://t.co/yCV4g1H956	1	1		
2719	@NickFerrariLBC  Anna Soubry #toryelectionfraud caught bang to rights: https://t.co/SXNfd1TLFP … #lbc @lbc #brexitthemovie #voteleave  |  Alex Salmond: "Boris - my worry is not you wanting to be PM, it is what you will do if you become PM." #EUref #EUDebate #VoteRemain	-1	-1		
2183	Unite the Union send a clear message at May Day Rally. Vote #Remain #StrongerIn https://t.co/sKBDjpKfOg  |  @MattCElthamSth @StrongerIn @GreenwichInEU @ConservativesIN @nigelfletcher @David_Llew @PauleecSE7 great cross party activity for #REMAIN  |  #Brexit diminished UK on a global basis you really don't know what you've done https://t.co/WATejoqeGY	-1	-1		
7159	.@crispinbluntmp rightly kippered by @EvanHD  #newsnight on Boris' claim that we would still be able to live &amp; work in #EU. Fantasy &amp; fraud	1	-1		
294	@SkyNews reports leaked diplomatic messages suggest 1m Turkish citizens to get visa free travel to EU. Cameron lied. #brexit #VoteLeave  |  They don't want Britain in the EU they just want our money to prop up their failing empire #VoteLeave #Brexit https://t.co/0vuTbvtRJU	1	1		
1796	#British #Irish #Scottish #Welsh #Celtic  Do not sacrifice your children for the EU illusion of wellfare #VoteLeave https://t.co/IFtvD3c9ae  |  @Gjon777 Who's for #Remain after reading this? https://t.co/tTmXhcZMgr  |  Yes yes yes! Holland, France &amp; Belgium fully support your fight for freedom. #Brexit #voteleave. #EU is a mistake https://t.co/SVKjCTYRVM	1	1		
4831	We are stronger, safer and better working with our friends and neighbours in the EU, not walking away #VoteRemain https://t.co/3LGKfi5zrk	-1	-1		
4468	You suspend credulity in supporting #leave. Have to believe Eurosceptics support workers rights, love NHS, will defend public services.....  |  Today = biggest cross-party campaign day in UK history. Join the #StrongerIn movement here: https://t.co/A5xszY60Ny https://t.co/heDSGc8hsT  |  Listening to Michael Gove's paranoid 'the whole world's against us' narrative @NickCohen4 is spot-on... https://t.co/pxXifjmeJH #InOrOut  |  Hello everyone! Please take a look at my bit on why I voted to #remain and why you should too, and then share it! https://t.co/ibjbo6A5db  |  Whereas #leave intend to spend years negotiating inferior replacement EU trade deals for ones we already have https://t.co/Gv4fCBvgrT  |  Our #Remain banner now proudly flies in Casemates Square #StrongerIn https://t.co/EHVHuokpH9	-1	-1		
5329	I'm Belgian and I endorse #Brexit  because we can be united only in freedom, sovereignty and rule of law. #VoteLeave https://t.co/FkmkOUXZ4y  |  #VoteRemain, but don't complain about zero hours jobs that employers can use because of unlimited cheap labour.  #VoteLeave #Labour #jobs  |  #BREXIT .... I pray for the British People to choose freedom rather than enslavement to an unelected bureaucracy.	1	1		
2029	As if you needed a reason to vote #remain. https://t.co/1tn9dCP35s	-1	-1		
4219	More evidence of strong Leave vote in NE England, higher than expected #EUref	1	0		
4879	#remain #strongerin #levy #joke #funnynotfunny EU think we are mad. We pick their best young brains/workers and send them our retirees.  |  If Brexit happens, citizens of Croatia, Slovakia and Estonia will have a more useful passport than us. What a turnaround! #VoteRemain  |  SayeedaWarsi defects from Leave,citing "hate + xenophobia" and accuses Gove of peddling "complete lies"  #StrongerIn https://t.co/1SyfWxkUtA	-1	-1		
3260	Lots of people in #Erdington area of #Birmingham telling the team they're voting to remain on 23 June #StrongerIn https://t.co/8jcap6O3lU  |  @JackDromeyMP with #Birmingham #StrongerIn volunteers encouraging people to register to vote https://t.co/SzguSYUaqi https://t.co/V0ub3ysZ36	-1	-1		
5176	The Sunday Times: Leaked UK plan to open doors for 1 Million Turks #VoteLeave #EUref #LeaveEU https://t.co/PxnSVFxSJR  |  Dave on the prospect of #Brexit. #VoteLeave https://t.co/8SUFW5JVkL  |  Dave showing utter contempt for police authorities. #VoteLeave #Brexit #toryelectionfraud https://t.co/1whmwt9ozM	1	1		
7070	United we stand, divided we fallManchester Evening News - we are stronger,safer &amp; better off in Europe https://t.co/8rElIowryo #StrongerIn	-1	-1		
6480	This is shocking, let the man answer the fucking questions  #ITVEURef  |  well if i was undecided about voting, I now after listening to utter tripe from the remains i would be voting out, #BBCDebate	1	1		
825	#British #Irish #Scottish #Welsh #Celtic  Do not sacrifice your children for the EU illusion of wellfare #VoteLeave https://t.co/IFtvD3c9ae	1	1		
2559	Register to VOTE and then VOTE in the most important VOTE in 40 Years #Strongerin #Brexit #Remain #LeaveEU #LabourIN  |  Please remember that a vote for Remaining in the #EU, is not a vote for the status-quo. #VoteLeave  https://t.co/9iXEAFtoMn	1	-1		
5806	Going global is not just a piece of rhetoric - it's the next step to enhance Britain's voice in the world https://t.co/JAWgcudmHz #Brexit  |  Britain's global engagement is restrained by the EU "common position" https://t.co/JAWgctVLiZ #EURef #VoteLeave  |  A #brexit movie with substance - Flexcit  https://t.co/YmBNPEGPgH (pt 1)  https://t.co/ggIFlbfPQM (pt 2)  https://t.co/7XHDt7CQik (pt3)  |  Just watched Newsnight. Or should I have said a party political broadcast for the remain party? Evan Davis served his masters well. #brexit  |  An EEA type transition is only the beginning https://t.co/AugkG1DnJ5 #EURef #Brexit #VoteLeave  |  TTIP has been all but ignored by the Remain campaign @WhiteWednesday #VoteLeave #Brexit https://t.co/17YyQYBiNV  |  The EU is not the Single Market so that doesn't count. Are there any credible reasons to remain? https://t.co/jzwogf9PiO #EURef #Brexit  |  A very solid piece describing a secure #EEA transition. This guy gets it! #EURef https://t.co/ApzdotO370  |  Osborne's fantasy budget is as irrelevant as Vote Leave Ltd's proposals. #Brexit is bigger than both of them. https://t.co/AsQvmoZp8K #EURef  |  I can't believe there are *still* politicians dishonestly talking about "reform". They need to get real #EURef https://t.co/eGCLI9kiLB  |  It doesn't matter what "Gove wants". A vote to leave will trigger the start of a parliamentary process. #EURef https://t.co/NrScuLmMm3  |  The Remain camp say democracy is an economic "risk". Never in human history has people having more freedom led to less prosperity. #EURef  |  Juncker's statement now makes a #VoteRemain so dangerous. It'll be taken as EU mandate for everything that is and will be soon. #VoteLeave  |  Remain have revealed their own hateful prejudices https://t.co/EVTE9VXWyp #VoteLeave #VoteLeaveTakeControl #EUref https://t.co/b1g3wfymmN  |  The majority of Scots wants to remain in the UK despite the #Brexit vote and prefer the UK to the EU @YouGov https://t.co/YUvWeHS6kT	1	1		
6142	#brexit #strongerin #LeaveEU A vote to remain is a vote to give control to bankers @ECB who control monetary policy https://t.co/jhsgEKYlbl  |  #itveuref @AmberRudd_MP We are so strong the EU FORCED us to tax tampons. And she talks womens rights??  |  @SkyNews #StrongerIn it is a tweet delete record for the disgusting creatures using this sad death for quick win politics #brexit @RupTroop  |  @PhattonPaul @jongaunt Don't think anyone is denying he is far right, and mental. BUT accusing #brexit for it is gutter politics  |  Guensey is a very nice, well off place to live so fine by me #Brexit #LeaveEU https://t.co/7cHIqx4ic5  |  #brexit The Remain campaign in 1 photo. And how to stay on it in 1 link https://t.co/c3sYEso6L6 @JulesSunbeam https://t.co/O6maFgYaGJ	1	1		
3372	The reason that I'm voting STAY is simply because I do not trust our government to act in the best interest of our population #bbcqt  |  Boris isn't stupid - he knows the difference between the EU and the ECHR. He's just fundamentally deceitful #ITVEURef	-1	-1		
1158	@FALLLFAN @PaulbernalUK Eco protections &amp; employment rights are two huge reasons to #Bremain - #Brexit-ed Tories would roll back both.  |  'Twas stirring stuff from @CarolineLucas @labourlewis @OwenJones84 @SirioCD @yanisvaroufakis @Another_Europe #VoteIn https://t.co/VQsKnuLaCa  |  #r4today I'm depressed listening to Michael Gove; a truly terrible terrible man trotting out vapid dangerous delusions. #VoteRemain  |  Of course it is. #EUref #StrongerIn #GreenerIN #BBCDebate https://t.co/qcFMTG5zzO  |  #StrongerIn #GreenerIN #EUref #BBCDebate (h/t @James_BG) https://t.co/Wpe3oLnx9o	-1	-1		
349	That fool Cameron is Merkel's Puppet. Inside of the #EU any British PM is just a Manager of the UK. #BREXIT for me. https://t.co/aivG4gnFh2  |  Stop trying to be one of the People #Dave you lost our faith when you handed #Britain to the #EU https://t.co/sKDG3huL7H  |  #ProjectFear falters as #VoteLeave ahead in polls. Meteor strike within seconds of #Brexit now almost guaranteed https://t.co/zYpcNgoiOh  |  Vote #BREXIT let the Dominoes Fall  https://t.co/U0KYJvSB0d  |  Vote #BREXIT Let the Dominoes Fall. https://t.co/TQe3wFJ4pd  |  Choosing 'Ode to Joy' as #EUAnthem may have been a little hasty. #BREXIT https://t.co/3JD4egCUAU  |  @Complaining_Q @PoliticsSense @WomenforBritain @SuzanneEvans1 Vote #BREXIT &amp; Let the Dominoes Fall. https://t.co/Lpw6e1px7p  |  Brilliant. Boris comprehensively destroys every single absurd argument in the Remainiac Campaign #BREXIT https://t.co/HWaafhrYTo  |  We need an Australian Points style system. We should be able to choose who comes to live amongst us. #BREXIT https://t.co/YWj0SdJ1rF  |  Have yet to hear one comprehensive, cognitive reason for #Remain I will be voting #LEAVE I am a #beLeaver in BREXIT https://t.co/f9KImodn6f  |  Indeed #Cameron had his spine surgically removed years ago. His liver &amp; belly remain, but are lily &amp; yellow in hue. https://t.co/NkVMzSvmMW  |  I hope #BREXITtheMOVIE is retweeted, put on FB, all across The #EU Countries. Please spread far &amp; wide @UKIP https://t.co/sluPk9wQDs  |  Perhaps as many people as possible could use a link to #BREXITtheMOVIE as a pinned tweet? @vote_leave  |  'The EU has just obliterated the English fishing industry altogether' says Geordie Fisherman Quote fron #BREXITtheMOVIE  |  There are 10,000 people on the EU Gravy Train who are paid MORE than Cameron. From #BREXITtheMOVIE  |  I hope that many people in the rest of #EU watch #BREXITtheMovie. It exposes the rotten corrupt EU for what it is. https://t.co/tVfMAYUwKd  |  Can someone please send him a link to #BREXITthe MOVIE then he might understand where it all went so wrong. https://t.co/YFqsEsBpJc  |  I will be voting #LEAVE if I have to be wheeled to the polling booth on a stretcher with an A&amp;E team in tow. #BREXIT https://t.co/5g64HMVgZn  |  #Farage has worked tirelessly for decades to expose the creeping stealth of the #EU Project. A conviction politician https://t.co/WQI7oyjJMs  |  @Martin_Durkin Thank you for making #BrexitTheMovie. View count nearly 90,000 https://t.co/RnOPsC7VLS  |  #BrexitTheMovie on youtube view counts have gone from 35,000 two days ago to 126,000 today https://t.co/GTkGlRT0Ca https://t.co/F45eoePiqw  |  Voting to 'remain' is the truly risky option. Vote Leave and take control - it's the safer choice https://t.co/OqY1r9JuUu #BREXIT  |  Merkel &amp; Juncker introduced EU open door Asylum Plan last year. Here is what #Farage had to say Be patient, 5 mins https://t.co/bKs9dbkT5f  |  If we vote to Remain, we are not voting for what we have to suffer now, we are voting for what we will suffer in the Future #BrexitTheMovie  |  It upsets me to know that we cannot control who comes to live amongst us whilst we are in the EU. #Leave for me. https://t.co/wPmvhqI5SD  |  My view only, but I think #Cameron is terrified of #Brexit because he would have to actually Govern our Country. https://t.co/7X7X08Hawq  |  That one hour slot should definitely have been used to show the Documentary #BrexitTheMovie  https://t.co/E2Fh1NAPnX  |  If we vote #Leave we can do what we want. We can Govern ourselves as we the British see fit.  https://t.co/RSNC6hoExm  |  More #Milliband ! more votes for #BREXIT Thanks #bbcQT https://t.co/AVeL7PYZFN  |  The open door EU asylum plan foisted on Europe by Merkel &amp; Juncker last year is utter madness @vote_leave #BREXIT https://t.co/CGArcuDKhP  |  @samsonofsam We paid up by the way, otherwise we would have been fined. Madness to Remain #BREXIT  |  #bbcQT or #BrexitTheMovie ? I know what I would rather watch. Bear baiting or facts? https://t.co/RnOPsC7VLS  |  Autonomy &amp; Democracy take the biscuit every time for me #BREXIT https://t.co/x3MjyrPjUp  |  #VoteLeave fully supported by the boys here in #Peterborough RT &amp; Like to show support!! #brexit https://t.co/bp6rdD0f2O  |  Britain, your #Brexit is our hope for a #Nexit #Swexit #Fixit #Dexit #Frexit bcoz #EUisTheProblem. 4 a better Future https://t.co/zSkNvUwRlm  |  @vote_leave Nothing in politics has made me this mad, as the constant barrage form political elite to tow their line. #Leave for me.  |  @keitheadams Mine was so full of inflammatory baloney that it spontaneously combusted @vote_leave #BREXIT https://t.co/1AZiKX2PkX  |  There are going to be lots of facts &amp; figures that will not come out until after June 23rd. That's for sure #BREXIT https://t.co/atlorR0TIG  |  Come on Britain, lets lead the way to the door marked #Brexit #Frexit #Grexit etc etc Many other EU members want to @vote_leave  |  @ukipwebmaster replacement sign secured to Gullivers Tavern! #Bournemouth #VoteLeave https://t.co/b6q5iaklKO  |  @LordAshcroft 81% are voting #Leave on this site. Over 134,000 people have voted. https://t.co/BAo6uGel5v  |  @alle_rond I'm Belgian &amp; I endorse #Brexit bcoz we can be united only in freedom, sovereignty &amp; RuleOfLaw #VoteLeave https://t.co/rugxehi5tz  |  Understandibly they want the fall of the #EU. I hope Britain is the first dominoe to fall, others will follow. https://t.co/0obTTe92bt  |  I personally am 100% #LEAVE LBC poll 71.7% Leave. Pollstation 81% #Leave https://t.co/Bm9QvkaGSF  |  Thank goodness for social media, otherwise the #Remain campaign's claims would never go unchallenged. I will @vote_leave for our Democracy.  |  I WILL BE VOTING #brexit  |  Whatever happens, suport for #Leave will never go away. Pollstation has Leave on 81% tonight. I will @vote_leave https://t.co/IHOJeSeJFf  |  200 cabbies urge Londoners to vote #Leave https://t.co/MjkpnfMh3z  |  Good #LBC debate with Farage/Heseltine but the fundamental reason I will be voting #Leave is for our Autonomy &amp; Democracy. Well said Nigel.  |  #Cameron is treating the British Electorate like fools, we want our Autonomy &amp; Democracy back! https://t.co/uOsI0O1CeV  |  @eToro @Coeurdelion87 Nothing will dissuade me from voting #Leave.  |  Hectoring Ruth Davidson: it is a bad look. Adults don't interrupt other adults, children do that #VoteLeave #BBCDebate  |  Awful lot of personal abuse being thrown about by Sadiq Khan from the remain side in the #BBCdebate Very poor show.  |  Goodness me the remain side were so rude tonight, shouting &amp; personal abuse their forte. #BBCdebate  |  Sadiq Khan came across as very rude in tonights #BBCdebate https://t.co/Pj5vYlVVuu  |  A vote for remain is a vote for the unknown. How many more of these EU Bills will appear after June 23rd? #BBCdebate https://t.co/yv2sYLoFXo  |  Well done #Leave team in tonights #BBCdebate I will @vote_leave I want want our autonomy &amp; democracy back.  |  Yes let Britain lead the way on the 23rd June #Leave #BBCdebate https://t.co/xEGy7cbiM0  |  Vote #Leave to hand down Democracy @agapanthus49 @Leavethe_EU @AmpersUK @RoscoeIbebell @RedHotSquirrel @DVATW https://t.co/maKeL2GhEC  |  Vote #Leave Keep our Democracy @theordinaryman2 https://t.co/T7FRskvPQP  |  Vote #Leave Retain Democracy @MikkiL @DavidCoburnUKip @SuzanneEvans1 @MargotLJParker @Arron_banks @realdealdanny https://t.co/Seqaqs4u1U  |  Vote #Leave Keep Democracy @LogicalCampaign @JuliaHB1 @DavidJo52951945 https://t.co/hcebJXEI5i  |  Vote #Leave Keep #Democracy @timothy_stanley https://t.co/w2JhB9JIQl  |  Vote #Leave &amp; vote to keep our #Democracy... @EuroGuido @EU_Buster https://t.co/iPsNmn49T6  |  Vote #Leave let's keep our Democracy. https://t.co/3UfcF1Ytoe  |  The British People want their Laws made by Politicians they can Elect/Reject I willl be voting #Leave  |  A vote for #Leave is a vote for our #Democracy https://t.co/azxEMOoZpR  |  Vote #Leave Vote for everything Britain &amp; the Commonwealth fought for.... https://t.co/ANhA4K3POV  |  Vote for #Leave vote for #Democracy @Australiaunwra6 @oldnick236 https://t.co/rL8DVjyGNi  |  @samsonofsam This, by the way, is why I voted #Leave  |  I voted #Leave because I think the Laws of Britain should be made by people we can elect or reject @vote_leave  |  I voted #Leave because i want the Laws of my Country made by people I can elect ot reject https://t.co/RnOPsC7VLS  |  People want Autonomy, accountability &amp; Democracy. The EU has destroyed all three. That's why I voted #Leave @NicolaSturgeon  |  I voted #Leave Without Autonomy &amp; Democracy we are nothing.  |  I voted to #Leave the political EU superstate. Nothing to do with 'Europe'  |  We voted #Leave for automomy &amp; democracy. We voted for Independence. The people have spoken. It's called Democracy. https://t.co/ZzHtRopTRV  |  Good grief, when will Britain wake up to the fact that #Farage is brilliant, intelligent, calm, clear, coherent. https://t.co/jqIe7L0QK3  |  We need someone who supports #Brexit as Leader of the Conservatives. My vote would go to @angelaleadsom Weneed someone with civic duty.  |  Exactly what we need to hear. Hope you become the calm collected voice of #Leave negotiations. Thank you. @UKIP https://t.co/WeNrsE1315  |  We need someone who believes in #Brexit to be the next PM Keep calm &amp; carry on @andrealeadsom https://t.co/Etm83iwVkJ  |  #BBC was once something to be proud of when I was growing up, now just a Best Before this Century institution. https://t.co/8ttITwG4Qp	1	1		
6700	EU has given us peace for 70 years. We need to continue standing together and keeping our children safe #StrongerIn https://t.co/qMSxcra8qC	-1	-1		
